********************************************************************************************************************************
WARNING DATA ARE IN UTC! PLEASE ADJUST TIME STAMPS FOR PROJECT TIME ZONE
********************************************************************************************************************************
Hub height (m AGL)       : 100m
Path to ERA5 files       : /local/ERA5_SentoSe_24289_merged_windspeed.nc
Station name             : SentoSe
Station latitude         : -9.8436
Station longitude        : -41.1912
Model latitude/longitude : [-9.899999999999991,-41.10000000000002] [-9.599999999999994,-41.10000000000002] [-9.599999999999994,-40.80000000000001] [-9.899999999999991,-40.80000000000001] [-10.2,-40.80000000000001] [-10.2,-41.10000000000002] [-10.2,-41.40000000000003] [-9.899999999999991,-41.40000000000003] [-9.599999999999994,-41.40000000000003]
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Date           Time(UTC)       c_ws       c_wd         n_ws       n_wd        ne_ws      ne_wd         e_ws       e_wd        se_ws      se_wd         s_ws       s_wd        sw_ws      sw_wd         w_ws       w_wd        nw_ws      nw_wd
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
2017-01-01     00:00:00        7.00      125.46        8.67      125.69        8.64      130.75        6.38      127.24        4.77      129.82        5.72      126.71        6.77      115.75        6.92      119.38        8.16      120.39 
2017-01-01     01:00:00        7.21      123.31        8.71      122.00        8.75      126.52        7.11      126.83        6.60      133.49        6.81      128.45        7.37      115.43        7.21      115.64        8.56      116.66
2017-01-01     02:00:00        8.53      128.64        9.41      122.78        9.88      128.45        8.67      132.70        7.95      134.75        8.13      131.47        8.69      119.67        8.09      119.46        8.81      115.63
2017-01-01     03:00:00        9.08      133.43       10.17      128.35       10.34      132.50        8.84      137.18        7.77      135.21        7.99      131.89        9.00      120.58        8.93      124.72        9.42      120.55
2017-01-01     04:00:00        8.90      137.85       10.03      131.76        9.69      134.00        8.38      141.64        7.28      139.60        7.49      135.17        8.87      121.46        9.20      127.92        9.81      125.12
2017-01-01     05:00:00        8.60      138.87        9.31      129.02        8.92      132.19        7.94      142.63        7.04      142.18        6.90      138.81        7.87      122.45        8.74      128.35        9.27      122.30
2017-01-01     06:00:00        8.09      138.56        8.76      125.87        8.40      131.30        7.53      142.65        6.66      143.32        6.41      140.86        6.79      123.12        7.45      125.97        8.60      115.24
2017-01-01     07:00:00        7.75      137.35        8.67      123.60        8.07      129.99        7.13      141.87        6.23      143.32        5.97      140.77        6.36      122.10        7.06      122.86        8.65      110.84
2017-01-01     08:00:00        7.67      135.81        8.76      122.06        7.85      128.57        6.93      140.96        5.94      143.50        5.69      140.07        6.38      121.75        7.16      121.63        8.87      109.64
2017-01-01     09:00:00        7.33      135.06        8.74      121.57        7.90      128.40        6.62      140.99        5.53      144.10        5.32      139.68        6.47      121.20        7.20      120.79        8.74      109.16
2017-01-01     10:00:00        7.42      133.16        8.39      120.91        7.94      127.90        7.11      137.59        6.22      138.33        5.65      136.11        6.54      119.56        7.11      118.32        8.44      107.46
2017-01-01     11:00:00        7.45      130.06        8.29      118.24        8.00      123.95        6.98      133.69        6.38      135.90        6.39      133.31        6.45      119.66        6.87      116.74        8.20      106.72
2017-01-01     12:00:00        7.07      125.13        8.11      113.68        7.71      120.38        6.70      130.00        5.93      134.43        6.28      129.48        6.77      118.34        6.66      113.16        8.04      103.76
2017-01-01     13:00:00        6.74      120.62        7.72      110.48        7.27      119.03        6.47      127.24        5.72      131.95        6.18      125.54        6.28      115.87        6.19      108.18        7.70      100.76
2017-01-01     14:00:00        6.50      114.96        7.44      107.16        6.89      116.53        6.26      121.73        5.49      125.13        6.04      119.73        5.77      111.15        5.83      101.98        7.47       97.25
2017-01-01     15:00:00        6.27      111.20        6.98      106.39        6.42      115.40        6.03      117.64        5.32      118.15        5.88      114.83        5.29      107.48        5.43       97.89        7.05       96.26
2017-01-01     16:00:00        5.92      110.58        6.41      106.34        6.12      112.38        5.82      116.51        5.34      116.09        5.81      112.40        4.99      104.84        5.10       99.10        6.44       99.42
2017-01-01     17:00:00        5.76      111.74        6.16      107.61        6.11      111.46        5.73      116.16        5.30      116.91        5.73      112.30        4.90      104.52        4.90      102.68        5.97      103.94
2017-01-01     18:00:00        5.59      113.24        5.96      108.91        6.09      111.43        5.55      116.64        5.10      118.10        5.49      113.93        4.99      106.21        4.88      104.32        5.62      106.62
2017-01-01     19:00:00        5.62      116.85        5.98      110.93        6.32      112.63        5.79      119.13        5.23      121.90        5.54      116.58        5.12      108.77        4.80      108.33        5.49      109.67
2017-01-01     20:00:00        5.83      123.30        6.06      114.44        6.72      115.16        6.20      123.58        5.84      127.58        5.79      123.25        5.25      116.38        4.70      117.88        5.22      115.29
2017-01-01     21:00:00        6.00      131.38        6.00      119.42        7.00      119.03        6.70      132.61        6.68      137.85        6.11      130.97        5.22      123.76        4.45      129.18        4.67      124.05
2017-01-01     22:00:00        6.61      130.72        6.75      119.47        7.67      121.74        7.28      133.82        7.23      137.28        6.82      129.15        5.64      122.99        5.01      130.62        5.22      123.31
2017-01-01     23:00:00        7.47      131.06        7.50      123.28        8.24      128.42        8.10      138.07        7.85      137.09        7.60      127.79        6.47      120.78        5.72      127.56        5.95      123.64
2017-01-02     00:00:00        8.18      131.04        8.64      126.66        8.97      133.60        8.32      138.97        7.59      135.98        7.65      127.32        7.34      118.99        7.00      124.08        7.36      121.47
2017-01-02     01:00:00        8.27      131.61        9.46      128.54        9.44      134.15        8.22      137.31        7.24      134.33        7.15      128.66        7.59      120.12        7.94      124.68        8.89      122.59
